elapsed_s,gt_label,attack_episode_id,total_packets,total_packets_delta,forwarded_packets_delta,dropped_packets_delta,throughput_ratio,pkt_rate_pps,total_flows,total_bytes,flow_arrival_rate,src_entropy,top_source_dominance,active_sources,syn_ratio_top_src,pps_top_src,ctrl_cpu_avg,ctrl_cpu_max,python_cpu_pct,python_mem_mb
215.9,0,0,6384,6384.0,6384.0,0.0,1.0,3192.0,13,150975777,0.0,1.8566,0.3869,6,0.3333,3723.5,4.99,5.93,8.1,1190.3
220.0,0,0,6973,6973.0,6973.0,0.0,1.0,3486.5,10,165377229,1.0,1.8604,0.3823,5,0.3333,3990.0,3.64,4.46,7.4,1190.3
224.0,0,0,7524,7524.0,7524.0,0.0,1.0,3762.0,10,179117268,0.0,1.8552,0.3764,4,0.0,4249.5,3.26,3.6,7.9,1190.3
228.1,0,0,8145,8145.0,8145.0,0.0,1.0,4072.5,10,194182530,0.5,1.8593,0.3807,4,0.0,4546.5,3.53,4.59,7.6,1190.8
232.2,0,0,7661,7661.0,7661.0,0.0,1.0,3830.5,9,193819080,0.0,1.7485,0.397,4,0.0,4563.0,4.65,6.8,6.9,1190.8
236.2,0,0,7730,7730.0,7730.0,0.0,1.0,3865.0,11,193911770,1.0,1.7657,0.3944,4,0.5,4570.5,4.87,5.86,7.6,1194.4
240.3,0,0,7765,7765.0,7765.0,0.0,1.0,3882.5,7,193987922,0.0,1.7777,0.4355,4,0.5,4570.5,4.43,5.26,7.9,1194.4
244.3,0,0,7765,7765.0,7765.0,0.0,1.0,3882.5,7,193987922,0.0,1.7777,0.3443,4,0.75,1528.5,30.82,57.22,15.9,1195.0
248.5,0,0,7583,7583.0,7583.0,0.0,1.0,3791.5,27,194321311,10.5,2.0061,0.3009,5,0.75,1528.5,21.58,39.45,14.3,1195.1
253.0,1,2,11419,11419.0,11419.0,0.0,1.0,5709.5,32,196458737,0.0,2.0933,0.3939,5,0.5385,4259.5,2.81,4.04,13.9,1195.1
256.4,1,2,11493,11493.0,11493.0,0.0,1.0,5746.5,35,196515583,1.5,2.1043,0.3939,7,0.5385,4303.0,3.77,4.09,15.0,1195.1
259.9,1,2,11539,11539.0,11539.0,0.0,1.0,5769.5,35,196585135,0.0,2.1294,0.3914,7,0.5385,4303.0,27.76,35.5,14.4,1195.1
264.2,1,2,11579,11579.0,11579.0,0.0,1.0,5789.5,35,196645615,0.0,2.1469,0.3968,7,0.5,4301.0,3.61,4.01,11.3,1195.2
268.2,1,2,4776,4776.0,4776.0,0.0,1.0,2388.0,29,2821151,0.0,1.1895,0.5539,5,0.6129,4500.0,3.36,4.07,14.3,1195.2
272.3,1,2,4843,4843.0,4843.0,0.0,1.0,2421.5,38,2903501,4.5,1.2273,0.5823,5,0.7,5166.5,4.34,7.72,12.7,1195.2
276.4,1,2,4896,4896.0,4896.0,0.0,1.0,2448.0,38,2980809,0.0,1.2635,0.6063,5,0.7,5826.5,3.93,4.83,14.8,1195.2
280.4,1,2,4964,4964.0,4964.0,0.0,1.0,2482.0,38,3083625,0.0,1.301,0.6317,5,0.7,6666.5,22.46,24.91,11.6,1195.2
284.5,1,2,12602,12602.0,12602.0,0.0,1.0,6301.0,26,7585948,3.0,0.8698,0.7452,5,0.7778,4961.0,18.39,19.35,13.3,1195.2
288.6,1,2,13322,13322.0,13322.0,0.0,1.0,6661.0,26,8011188,0.0,0.8408,0.7583,5,0.7778,5321.0,16.81,17.53,13.0,1195.2
292.7,1,2,13322,13322.0,13322.0,0.0,1.0,6661.0,26,8011188,0.0,0.8408,0.7583,5,0.7778,5321.0,48.11,66.03,11.8,1195.2
